GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.output,CloseShieldOutputStreamTest,7,45,0,0,2,12,0,3,0,3
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.output,NullWriterTest,0,47,0,0,0,12,0,2,0,2
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.output,ByteArrayOutputStreamTestCase,11,272,4,12,4,57,4,12,0,8
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.testtools,FileBasedTestCase,68,360,7,25,12,83,7,23,0,14
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.testtools,YellOnCloseInputStream,5,4,0,0,1,2,1,1,1,1
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.testtools,YellOnFlushAndCloseOutputStream,16,23,3,1,5,10,3,3,1,3
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,DemuxTestCase,0,238,0,4,0,58,0,12,0,10
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,CopyUtilsTest,12,382,3,3,2,80,4,12,1,12
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,DirectoryWalkerTestCase,156,805,2,14,20,145,2,29,0,23
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,EndianUtilsTest,0,873,0,2,0,181,0,22,0,21
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,FileUtilsTestCase,461,3338,37,55,112,787,38,94,1,85
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,FileUtilsFileNewerTestCase,33,156,2,2,8,35,2,9,0,9
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,LineIteratorTestCase.new LineIterator() {...},0,25,0,2,0,4,0,3,0,2
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,FileCleaningTrackerTestCase,55,602,2,8,12,146,3,18,1,15
