GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io.input,NullReaderTest,71,350,0,14,16,85,0,16,0,9
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io.input,NullInputStreamTest.TestNullInputStream,0,39,0,2,0,9,0,5,0,4
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io.input,PackageTestSuite,37,77,0,10,3,7,2,6,2,1
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io.input,NullInputStreamTest,71,375,0,14,16,88,0,16,0,9
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io.input,CountingInputStreamTest,12,381,0,0,4,102,0,11,0,11
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io.input,ClassLoaderObjectInputStreamTest,2,40,1,1,0,11,1,2,0,2
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io.input,NullReaderTest.TestNullReader,0,39,0,2,0,9,0,5,0,4
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io.input,SwappedDataInputStreamTest,14,159,0,2,4,48,0,18,0,17
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io.output,LockableFileWriterTest,61,373,0,0,14,103,0,10,0,10
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io.output,NullWriterTest,0,47,0,0,0,12,0,2,0,2
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io.output,TeeOutputStreamTest,0,130,0,8,0,22,0,7,0,3
